,topic1,topic2
732,0.51312643,0.48687363
733,0.8930995,0.10690055
734,0.123510346,0.87648964
735,0.3034794,0.69652057
736,0.51312643,0.48687363
737,0.1521352,0.8478648
738,0.8551857,0.14481431
739,0.05297317,0.94702685
740,0.15257779,0.84742224
741,0.51312643,0.48687363
742,0.91045994,0.08954004
743,0.77779704,0.22220297
744,0.51312643,0.48687363
745,0.51312643,0.48687363
746,0.38622424,0.61377573
747,0.49593383,0.50406617
748,0.914142,0.085858025
749,0.51312643,0.48687363
750,0.89257294,0.10742709
751,0.89310235,0.10689768
752,0.51312643,0.48687363
753,0.8930995,0.10690057
754,0.1520956,0.8479044
755,0.51312643,0.48687363
756,0.9063128,0.09368719
757,0.74783635,0.25216362
758,0.8928375,0.107162476
759,0.9154005,0.0845995
760,0.51312643,0.48687363
761,0.56430507,0.43569493
762,0.77696836,0.22303161
763,0.39601782,0.6039822
764,0.91539055,0.08460947
765,0.51312643,0.48687363
766,0.77694315,0.22305684
767,0.9215943,0.078405686
768,0.09082672,0.9091733
769,0.11274391,0.8872561
770,0.51312643,0.48687363
771,0.51312643,0.48687363
772,0.23565738,0.7643426
773,0.8932381,0.10676186
774,0.52108645,0.4789136
775,0.51312643,0.48687363
776,0.41249987,0.58750015
777,0.89328194,0.106718086
778,0.23502283,0.76497716
779,0.9152758,0.08472416
780,0.51312643,0.48687363
781,0.89309937,0.10690057
782,0.15209498,0.84790504
783,0.1520586,0.84794146
784,0.11272274,0.8872773
785,0.11301811,0.88698184
786,0.51312643,0.48687363
787,0.3626946,0.6373054
788,0.11336056,0.8866394
789,0.8746226,0.12537742
790,0.51466227,0.48533776
791,0.51312643,0.48687363
792,0.8930995,0.106900536
793,0.10267882,0.8973212
794,0.51312643,0.48687363
795,0.09946567,0.90053433
796,0.9270267,0.07297329
797,0.85543656,0.14456345
798,0.15280174,0.84719825
799,0.5236327,0.47636726
800,0.51312643,0.48687363
801,0.8640942,0.13590582
802,0.8558863,0.14411372
803,0.678765,0.32123497
804,0.51312643,0.48687363
805,0.51573676,0.48426324
806,0.51312643,0.48687363
807,0.5011724,0.4988276
808,0.7645652,0.23543476
809,0.12774843,0.8722516
810,0.51312643,0.48687363
811,0.038611576,0.96138847
812,0.09016005,0.9098399
813,0.07393398,0.92606604
814,0.51312643,0.48687363
815,0.85564494,0.14435504
816,0.23523138,0.7647686
817,0.51601905,0.48398095
818,0.51312643,0.48687363
819,0.51312643,0.48687363
820,0.17363231,0.8263677
821,0.08007209,0.9199279
822,0.8283893,0.17161074
823,0.112743765,0.8872562
824,0.51312643,0.48687363
825,0.89309937,0.10690058
826,0.5015712,0.4984288
827,0.51312643,0.48687363
828,0.7763531,0.22364691
829,0.23444082,0.7655592
830,0.112815015,0.887185
831,0.7769426,0.22305734
832,0.6455656,0.35443434
833,0.5011584,0.49884155
834,0.85564625,0.14435378
835,0.85560536,0.14439462
836,0.83334774,0.16665225
837,0.51312643,0.48687363
838,0.37043738,0.6295626
839,0.23438007,0.76561993
840,0.14011581,0.85988414
841,0.07773978,0.9222602
842,0.77733845,0.22266157
843,0.51312643,0.48687363
844,0.88307554,0.11692452
845,0.51312643,0.48687363
846,0.7776242,0.22237577
847,0.7088239,0.29117602
848,0.9373594,0.06264066
849,0.8845718,0.11542827
850,0.9146747,0.085325345
